선반ID,모듈,단,공급코드,상품명,규격,운영 상품군,중요도,취급 권장,페이싱,배정 근거,조건
L2/S3,L2,S3,pd0002032,설멈츄정,12정,설사 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S5,L3,S5,pd0001983,세나트리플연질캡슐,12c,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B3/S2,B3,S2,pd0000091,세븐플러스 일회용 부직포 마스크,8매,마스크·위생 소모품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S2,G3-U-2,S2,pd0001985,센스리베정,21T,여성 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-D-1/S4,G2-D-1,S4,pd0002553,센스카나겔,15g,흉터 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S5,G3-U-2,S5,pd0000017,소프트콘돔DOTSD(돗트형),10P,콘돔·셀프검사,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S5,G3-U-2,S5,pd0000019,소프트콘돔GREENC(프리미엄),12P,콘돔·셀프검사,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S5,G3-U-2,S5,pd0000018,소프트콘돔PTYPE(슬림형),10P,콘돔·셀프검사,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S5,G3-U-2,S5,pd0000016,소프트콘돔SPIRALSS(나선형),10P,콘돔·셀프검사,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S5,G3-U-2,S5,pd0000015,소프트콘돔포티나인(밀착형),10P,콘돔·셀프검사,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-D-1/S4,G2-D-1,S4,pd0001844,스카논겔,15g,흉터 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-D-1/S2,G2-D-1,S2,pd0001820,스카덤클리어겔,20g,흉터 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-D-1/S4,G2-D-1,S4,pd0001837,스카힐골드겔,20g,흉터 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-2/S5,G3-D-2,S5,pd0002527,스킨토닝 바이 르디퍼 알엑스,4.3ml,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-2/S5,G4-D-2,S5,pd0000184,스프렉사 위스틱 효소,42g,효소 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001961,시크린원점안액,14ml,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S3,L3,S3,pd0001893,신신물파스에스,90mL,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-1/S5,G6-U-1,S5,pd0001882,신신티눈고,2매,티눈·굳은살 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S4,L3,S4,pd0001878,신신파스 플렉스 캐네펜,6매,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S5,L3,S5,pd0001880,신신파스 플렉스 한방,6매,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S2,L3,S2,pd0001884,신신파스-RX(소형),42매,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S3,L3,S3,pd0001886,신신파스아렉스(대형),30매,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W1/S4,W1,S4,pd0000026,쎄레스틴크림,30g,피부염·가려움 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S4,L2,S4,pd0002408,아시원슬림산,90포,변비 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S4,L2,S4,pd0002407,아시원정,180T/2ea,변비 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001969,아이미루40EX마일드,13ml,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001974,아이미루40EX점안액,13ml,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001984,아이미루40골드점안액,13ml,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001982,아이미루40이엑스골드콘택트점안액,13ml,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0002538,아이봉C,480mL,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0002534,아이봉W,480mL,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0000063,아이퓨어점안액,0.5mL*30관,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S2,G4-U-2,S2,pd0002389,아임비타,10병,멀티비타민·미네랄,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-U-1/S3,G2-U-1,S3,pd0002385,아즈렌S크림,30g,상처·피부손상 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-D-1/S4,G1-D-1,S4,pd0001855,아크덤겔,30g,기타 여드름 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S4,L3,S4,pd0002542,안티푸라민 더블파워 대형,6매*5개입,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S5,L3,S5,pd0002541,안티푸라민 더블파워 중형,7매*4개입,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S2,L3,S2,pd0002409,안티푸라민연고,500g,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S3,L3,S3,pd0002404,안티푸라민연고,60g,파스·바르는 진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-U-1/S2,G2-U-1,S2,pd0001908,에스로반연고(티트리오일),10g,상처 항균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B8/S2,B8,S2,pd0000911,엑소바이오 시카 엑소좀 프리미엄 앰플,5ml*5ea,신성분 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-3/S5,G6-D-3,S5,pd0001836,엘라스에이액,7ml*10EA,다리 순환 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W1/S4,W1,S4,pd0002362,엘린플러스크림,20g,피부염·가려움 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-2/S2,G3-D-2,S2,pd0002439,예쁜얼굴 비타민C크림,25g,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-3/S2,G3-D-3,S2,pd0002437,예쁜얼굴 썬크림 포르테,25g,자외선차단,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-U-1/S4,G1-U-1,S4,pd0001676,오닝바이브 파인샷 엑소좀 멜팅 그라인딩 클렌징 밤,50ml,세안제·클렌징,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-3/S3,G3-D-3,S3,pd0001677,오닝바이브 파인샷 엑소좀 모이스처 수딩 선 크림,50ml,자외선차단,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-U-1/S5,G1-U-1,S5,pd0001675,오닝바이브 파인샷 엑소좀 모이스처 팩 클렌저,150ml,세안제·클렌징,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B8/S3,B8,S3,pd0001673,오닝바이브 파인샷 엑소좀 하이드레이팅 앰플,30ml,신성분 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B8/S4,B8,S4,pd0001674,오닝바이브 파인샷 엑소좀 하이드레이팅 크림,50ml,신성분 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B8/S2,B8,S2,pd0001672,오닝바이브 파인샷 엑소좀 하이드레이팅 토너,150ml,신성분 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0002012,오큐시스점안액,0.5ml*60EA,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S3,L1,S3,pd0002073,용각산쿨과립(민트),18p,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S5,L1,S5,pd0002071,용각산쿨과립(블루베리),18p,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B8/S3,B8,S3,pd0000619,원진이펙트 닥터원진 PDLLA 부스팅 풀 샷 앰플,35ml,신성분 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-2/S3,G6-U-2,S3,pd0000110,웰빙헬스 고운발(빨강),100g,풋 케어 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-U-3/S4,G2-U-3,S4,pd0000111,웰빙헬스 관절애(HOT/마사지크림) 120g,120g,바디 보습·미스트,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-2/S4,G6-U-2,S4,pd0000112,웰빙헬스 명품 고운발,110g,풋 케어 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S2,G5-D-2,S2,pd0002441,웰빙헬스 예쁜얼굴 콜라겐크림 휴대용,25ml,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0000050,위엔부틴정,10T,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0002022,위제로알파정,30포*3EA,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S3,G3-U-2,S3,pd0000084,유기농본 롱팬티라이너,28P,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S4,G3-U-2,S4,pd0000079,유기농본생리대(대형),14P,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S3,G3-U-2,S3,pd0000081,유기농본생리대(소형),18p,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S4,G3-U-2,S4,pd0000080,유기농본생리대(중형),16P,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S3,G3-U-2,S3,pd0000082,유기농본오버나이트생리대,10P,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S4,G3-U-2,S4,pd0000083,유기농본팬티라이너,34p,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-D-2/S3,G1-D-2,S3,pd0002315,이지덤리얼카밍,6매,스팟 보호 패치,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S4,L3,S4,pd0001941,이지엔6애니연질캡슐,10c,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S5,L3,S5,pd0001943,이지엔6이브연질캡슐,30캡슐,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S2,L3,S2,pd0001944,이지엔6프로연질캡슐,30캡슐,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S3,L3,S3,pd0001942,이지엔6프로연질캡슐,10c,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B3/S5,B3,S5,pd0000090,이케어 데일리마스크(검정색) 5매입,5매,마스크·위생 소모품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-3/S2,G3-U-3,S2,pd0002268,자멘쏙정,20T,수면 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000363,자연공유 유기농 100% 레몬즙,20g*15포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
W4/S5,W4,S5,pd0002522,자하생력,1EA,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S4,W5,S4,pd0002056,정원삼 6년근 고려홍삼정 365스틱 100포,10g*100포,홍삼 제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S5,W5,S5,pd0002061,정원삼 6년근 고려홍삼정 365스틱 키즈,10g x 100포,홍삼 제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S3,W5,S3,pd0002063,정원삼 6년근 고려홍삼정 365스틱 키즈,10g x 30포,홍삼 제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S4,W5,S4,pd0002065,정원삼 6년근 발효홍삼정365(4병),200g*4병,홍삼 제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S5,W5,S5,pd0002058,정원삼 정성담은 고려홍삼스틱,10g*50포,홍삼 제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S2,W5,S2,pd0002068,정원삼 침향기력단,3.75g x 60환,침향·전통 건강식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S2,W5,S2,pd0002067,정원삼 침향보력단,3.75g x 100환,침향·전통 건강식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000103,주스업 프리미엄 유산균 ABC주스[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000097,주스업 프리미엄 유산균 검은콩차[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000101,주스업 프리미엄 유산균 레몬주스[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000098,주스업 프리미엄 유산균 모로오렌지주스[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000102,주스업 프리미엄 유산균 배도라지즙[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000104,주스업 프리미엄 유산균 사과즙[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000099,주스업 프리미엄 유산균 석류주스[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000096,주스업 프리미엄 유산균 팥차[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000105,주스업 프리미엄 유산균 푸룬주스[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000100,주스업 프리미엄 유산균 호박즙[오픈마켓판매금지],80ml*10EA,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
G3-U-2/S2,G3-U-2,S2,pd0001975,지노베타딘질좌제,10EA,여성 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S4,L3,S4,pd0002045,챔프시럽(체리향),10포,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S5,L3,S5,pd0002040,챔프이부펜시럽,10포,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S2,L1,S2,pd0002039,챔프콜드펜하이시럽,10포,종합감기 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S3,G3-U-2,S3,pd0002038,치지래과립,30p,치질 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S2,G3-U-2,S2,pd0002421,카네스텐6질정,6T,여성 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-1/S2,G6-U-1,S2,pd0002425,카네스텐크림,10g,무좀·진균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-D-2/S4,G2-D-2,S4,pd0002026,케어리브(중형),50매,일반·방수 밴드,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-U-1/S2,G2-U-1,S2,pd0000025,케어믹신플러스연고,10g,상처 항균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-D-1/S2,G2-D-1,S2,pd0000004,케어스카겔,20g,흉터 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-D-1/S3,G1-D-1,S3,pd0000012,케어아크네크림,15g,붉은 여드름 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S2,L1,S2,pd0002433,콜대원 나이트시럽,20ml*5포,종합감기 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S4,L1,S4,pd0002431,콜대원노즈큐에스시럽,20mL*5포,비염·알레르기 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-3/S2,G3-U-3,S2,pd0002345,쿨드림롱,10c,수면 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-3/S2,G3-U-3,S2,pd0002340,쿨드림연질캡슐,10c,수면 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S3,G6-U-3,S3,pd0000045,큐어온 관절보호대 서포트(허리),FREE,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S2,G6-U-3,S2,pd0000040,큐어온 관절보호대 테이핑서포터(무릎),M,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S3,G6-U-3,S3,pd0000041,큐어온 관절보호대 테이핑서포터(무릎),L,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S2,G6-U-3,S2,pd0000037,큐어온 관절보호대 테이핑서포터(발목),M,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S3,G6-U-3,S3,pd0000038,큐어온 관절보호대 테이핑서포터(발목),L,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S2,G6-U-3,S2,pd0000033,큐어온 관절보호대 테이핑서포터(손목),S,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S3,G6-U-3,S3,pd0000034,큐어온 관절보호대 테이핑서포터(손목),M,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S2,G6-U-3,S2,pd0000035,큐어온 관절보호대 테이핑서포터(손목),L,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S3,G6-U-3,S3,pd0000042,큐어온 관절보호대 테이핑서포터(팔꿈치),S,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S2,G6-U-3,S2,pd0000043,큐어온 관절보호대 테이핑서포터(팔꿈치),M,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S3,G6-U-3,S3,pd0000044,큐어온 관절보호대 테이핑서포터(팔꿈치),L,보호대·테이핑·온열용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S2,L3,S2,pd0001935,타이레놀정500mg,30T,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S3,L3,S3,pd0001945,탁센레이디연질캡슐,10C,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S4,L3,S4,pd0001933,탁센아세트아미노펜,10T,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0002518,태초수 하이드로겐 미네랄 워터,350ml,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
L4/S3,L4,S3,pd0002512,테라브레스 프레시브레스 오랄린스 레인포레스트민트향,473ML,가글·구강 스프레이,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L4/S2,L4,S2,pd0002356,테라브레스마일드민트치약,150g,치약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-1/S3,G6-U-1,S3,pd0000055,테리나플러스크림,20g,무좀·진균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S4,G3-U-2,S4,pd0001831,템포내추럴슈퍼,10P,여성 위생·청결,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B8/S5,B8,S5,pd0001731,"톰 PPM 30,000 트리플 시너지 릴리프 크림 (50ml)",50ml,기초 스킨케어·세부목적 확인,H,확인 후 검토,1,권장 주 진열에 지정된 모듈,분류·표시 확인 후 진열
W4/S2,W4,S2,pd0002003,투엑스비트리플정,120정,비타민B 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S3,L1,S3,pd0002424,트로겐연조엑스(구풍해독탕),12g*6포,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S4,G3-U-1,S4,pd0002260,판토모나 비오틴 플러스맥스(남성용),180T,비오틴·모발 영양,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S5,G3-U-1,S5,pd0002262,판토모나 비오틴 플러스맥스(여성용),270T,비오틴·모발 영양,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S4,G3-U-1,S4,pd0002261,판토모나 비오틴 하이퍼포머(온가족용),240T,비오틴·모발 영양,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000214,퍼니트 리얼 콤부차 애플사이다비니거 30개입,5g*30포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000213,퍼니트 리얼 콤부차 파인애플 30개입,5g*30포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
G4-D-2/S5,G4-D-2,S5,pd0000212,퍼니트 리얼 파인애플 효소 30포,3g*30포,효소 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-3/S4,G6-U-3,S4,pd0000216,퍼니트 링포유 레몬맛 10포,11g*10포,수분·에너지 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000211,퍼니트 마시는 샐러드 30포,2g*30포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000210,퍼니트 유기농 올레샷 올리브오일 앤 레몬즙 14포,20g*14포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
G3-U-2/S3,G3-U-2,S3,pd0001924,푸레파인마일드좌제,10T,치질 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0001951,퓨어 유기농 석류즙,10ml*30포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
W4/S3,W4,S3,pd0002270,프레스샷 마그코어,30mL*10EA,마그네슘 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
